,park_id,park_name,park_location,total_park_num
0,10119102202042801000,水洞埭停车场,中国浙江省嘉兴市平湖市解放东路132,20
1,10119102202100601000,当湖路停车场,中国浙江省嘉兴市平湖市当湖街道当湖路辅路,20
2,10119102202032801000,城关中学南停车场,中国浙江省嘉兴市平湖市新华北路72号,50
3,10119102202091001000,当湖公园停车场,中国浙江省嘉兴市平湖市当湖街道当湖东路163号,20
4,10119102202153602000,大型车停车场,中国浙江省嘉兴市平湖市平善大道,20
5,10119102202023402000,城关中学东停车场,中国浙江省嘉兴市平湖市新华北路137号,100
6,10119102202081901000,县后底停车场,中国浙江省嘉兴市平湖市当湖街道县后底177号,74
7,10119102202135601000,新天地地面停车场,中国浙江省嘉兴市平湖市环城东路555号,100
8,10119102202013901000,育才路南面停车场,中国浙江省嘉兴市平湖市育才路376,100
9,10119102202070802000,锦湖花苑东,中国浙江省嘉兴市平湖市当湖街道环城北路138号,20
10,10119102201575302000,育才路北面停车场,中国浙江省嘉兴市平湖市育才路376,50
11,10119102202062302000,环北二路停车场,中国浙江省嘉兴市平湖市当湖街道环北二路504号,20
12,10119102202115002000,梅园路停车场,中国浙江省嘉兴市平湖市当湖街道梅园路265号,20
13,10119102202053601000,影院弄停车场,中国浙江省嘉兴市平湖市解放中路,20
14,10119102202104602000,花园里停车场,中国浙江省嘉兴市平湖市当湖街道花园里76号,8
15,10120072810170801000,武原街道英皇水会停车场,浙江省嘉兴市海盐县海滨西路107号,50
16,10120102315531101000,武原街道园林垃圾处置点停车场,浙江省嘉兴市海盐县武原街道,380
17,10120102314082701000,武原街道木材市场停车场,浙江省嘉兴市海盐县武原街道,380
18,10120102217415601000,武原街道海北路停车场,浙江省嘉兴市海盐县武原街道,380
19,10120070321463801000,赞山农贸市场停车场,嘉兴市海宁市高丰路59号赞山农贸市场,200
20,10120032921114502000,鸣彩时尚产业园,浙江省嘉兴市海宁市S101鸣彩时尚产业园,1500
21,10120111611423501000,玉龙酒店停车场,浙江省嘉兴市海宁市市场路201号玉龙国际商务酒店,300
22,10120101614584602000,海宁市游泳馆,浙江省嘉兴市海宁市海州西路230号海宁市游泳馆,480
23,10120111315352702000,海宁百益艺创园停车场,嘉兴市海宁市前进路(前进文化大楼西北侧约100米)海宁市百益艺创园,330
24,10120082709452201000,濮院羊毛衫市场二三区,浙江省嘉兴市桐乡市永乐路1号濮院羊毛衫市场,260
25,10120082614275802000,濮院羊毛衫市场交易中心,浙江省嘉兴市桐乡市永乐路1号濮院羊毛衫市场,300
26,10119091215041502000,海宁新华书店,浙江省嘉兴市海宁市海昌南路165号新华书店(海昌南路店),100
27,10118013020030601000,泾水2号门,浙江省嘉兴市南湖区泾水路443号泾水公寓,100
28,10120041010573102000,同有云创服装城停车场,浙江省嘉兴市桐乡市濮院大道辅路中央商城商务楼A,510
29,10119092118010401000,海宁百益投资开发有限公司,浙江省嘉兴市海宁市前进路海宁市百益投资开发有限公司,330
30,10118020714222901000,泾水1号门,浙江省嘉兴市,5000
31,10118020710141001000,怡和园,嘉兴市南湖区景宜路425号,100
32,10118020620042201000,景湖花园,嘉兴市南湖区云东路62号,5000
