,编号,地址,潮汐规律,车流高峰,流入高峰,流出高峰,本地车(辆),外地车(辆),本地车占比,外地车占比
0,1.01E+19,泾水2号门,昼闲夜忙,晚高峰,17.00-20.00,7.00-10.00,21786,1765,percent: 92.51%,percent: 7.49%
1,1.01E+19,双溪社区,昼闲夜忙,晚高峰,17.00-20.00,7.00-10.00,16848,1263,percent: 93.03%,percent: 6.97%
2,1.01E+19,景湖花园,昼闲夜忙,晚高峰,17.00-20.00,7.00-10.00,13930,1229,percent: 91.89%,percent: 8.11%
3,1.01E+19,怡和园,昼闲夜忙,晚高峰,17.00-20.00,7.00-10.00,15041,1456,percent: 91.17%,percent: 8.83%
4,1.01E+19,武原街道英皇水会停车场,昼闲夜忙,晚高峰,17.00-20.00,7.00-10.00,928,57,percent: 94.21%,percent: 5.79%
5,1.01E+19,海宁市游泳馆,昼闲夜忙,晚高峰,17.00-20.00,7.00-10.00,10100,1020,percent: 90.83%,percent: 9.17%
6,1.01E+19,优优花园,昼闲夜忙,晚高峰,17.00-20.00,7.00-10.00,7029,362,percent: 95.10%,percent: 4.90%
0,1.01E+19,濮院时尚中心停车场,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,22655,7866,percent: 74.23%,percent: 25.77%
1,1.01E+19,海宁新华书店,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,5080,458,percent: 91.73%,percent: 8.27%
2,1.01E+19,鸣彩时尚产业园,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,966,9339,percent: 9.37%,percent: 90.63%
3,1.01E+19,同有云创服装城停车场,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,7073,5616,percent: 55.74%,percent: 44.26%
4,1.01E+19,创客地产业园停车场,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,575,4282,percent: 11.84%,percent: 88.16%
5,1.01E+19,洪合毛衫城停车场,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,2381,1444,percent: 62.25%,percent: 37.75%
6,1.01E+19,全民健身中心停车场,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,3719,991,percent: 78.96%,percent: 21.04%
7,1.01E+19,嘉善农商银行总行停车场,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,6583,459,percent: 93.48%,percent: 6.52%
8,1.01E+19,云融中心1,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,4931,722,percent: 87.23%,percent: 12.77%
9,1.01E+19,濮院羊毛衫市场交易中心,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,2700,607,percent: 81.64%,percent: 18.36%
10,1.01E+19,濮院羊毛衫市场二三区,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,13156,5607,percent: 70.12%,percent: 29.88%
11,1.01E+19,北面停车场,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,4041,950,percent: 80.97%,percent: 19.03%
12,1.01E+19,瑞鑫大厦停车场,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,1574,283,percent: 84.76%,percent: 15.24%
13,1.01E+19,海宁百益艺创园停车场,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,1290,10866,percent: 10.61%,percent: 89.39%
14,1.01E+19,柯恩实业,昼忙夜闲,早高峰,7.00-10.00,17.00-20.00,7573,3403,percent: 69.00%,percent: 31.00%
0,1.01E+19,桐乡第二人民医院地面停车场,昼忙夜闲,早高峰,6:00-09:00 13:00-14:00,15:00-20:00,27855,3612,percent: 88.52%,percent: 11.48%
0,10119112210362200000,嘉兴南站停车场,昼忙夜闲,早高峰,4:00-07:00,20:00-23:00,597,436,percent: 57.79%,percent: 42.21%
1,10119123017444500000,烟厂停车场,昼忙夜闲,早高峰,5:00-13:00,16:00-18:00,6,5,percent: 54.55%,percent: 45.45%
2,1.01191E+19,米厂(停车场),无,无,无,无,50,215,percent: 18.87%,percent: 81.13%
3,10119123116223700000,隆源路海鸥电器厂停车场,无,无,无,无,1020,142,percent: 87.78%,percent: 12.22%
4,1.01201E+19,武原街道海北路停车场,无,无,15:00-19:00,无,43,10,percent: 81.13%,percent: 18.87%
5,1.01201E+19,嘉兴博尔玛,昼忙夜闲,无,无,10:00-20:00,4170,1296,percent: 76.29%,percent: 23.71%
6,1.01201E+19,武原街道木材市场停车场,昼闲夜忙,无,14:00-19:00,无,485,71,percent: 87.23%,percent: 12.77%
7,1.01201E+19,博尔玛A,无,无,无,无,4066,1416,percent: 74.17%,percent: 25.83%
8,1.01201E+19,华星村停车场,昼忙夜闲,无,无,9:00-20:00,76,0,percent: 100.00%,percent: 0.00%
