,parkId,totalNum,VehicleNum
0,10118013020030601000,100,825
1,10118020617152601000,9999,872
2,10118020620042201000,5000,716
3,10118020710141001000,100,674
4,10119052310185802000,300,596
5,10119091215041502000,100,449
6,10119112210362202000,20,23
7,10119123017444502000,100,10
8,10119123017473402000,200,111
9,10119123116223701000,40,21
10,10120030821200902000,300,492
11,10120032810460401000,342,470
12,10120032921114502000,1500,177
13,10120041010573102000,510,300
14,10120042810273102000,200,87
15,10120052113185901000,9000,131
16,10120052519175202000,150,68
17,10120062221113702000,562,209
18,10120070321463801000,200,163
19,10120071709420002000,300,214
20,10120072810170801000,50,59
21,10120081020442101000,500,280
22,10120082614275802000,300,107
23,10120082709452201000,260,119
24,10120091616571901000,175,107
25,10120101211572502000,1000,91
26,10120101614584602000,480,377
27,10120102217415601000,380,759
28,10120102309534802000,1000,155
29,10120102314082701000,380,92
30,10120110413322101000,1000,137
31,10120111315352702000,330,265
32,10120111611423501000,300,176
33,10120111810565201000,70,303
34,10120120121244302000,500,215
35,10120120313422202000,500,118
